iter	Passed	Remaining
0	142	141974
1	147	73407
2	152	50614
3	158	39438
4	163	32567
5	169	28020
6	174	24729
7	178	22162
8	183	20159
9	188	18619
10	193	17430
11	198	16327
12	202	15378
13	207	14609
14	212	13955
15	217	13349
16	222	12838
17	226	12364
18	231	11927
19	235	11541
20	240	11205
21	244	10851
22	248	10537
23	252	10254
24	256	10004
25	260	9772
26	265	9554
27	268	9329
28	272	9135
29	277	8966
30	281	8805
31	286	8657
32	290	8508
33	294	8379
34	299	8248
35	302	8088
36	307	7991
37	310	7865
38	314	7757
39	317	7628
40	321	7527
41	326	7449
42	330	7355
43	333	7254
44	338	7181
45	342	7096
46	345	7009
47	348	6913
48	351	6826
49	355	6752
50	359	6688
51	362	6602
52	366	6544
53	370	6481
54	374	6434
55	378	6373
56	381	6317
57	386	6279
58	391	6241
59	394	6186
60	398	6133
61	403	6102
62	408	6076
63	413	6044
64	416	5991
65	419	5933
66	423	5897
67	428	5866
68	432	5830
69	436	5800
70	440	5758
71	444	5726
72	448	5696
73	452	5665
74	456	5633
75	461	5605
76	465	5577
77	469	5553
78	474	5529
79	477	5496
80	482	5473
81	487	5454
82	491	5428
83	495	5406
84	500	5385
85	503	5348
86	507	5327
87	511	5302
88	513	5257
89	517	5229
90	521	5207
91	525	5185
92	530	5169
93	546	5266
94	549	5235
95	553	5209
96	557	5189
97	561	5170
98	565	5150
99	570	5136
100	574	5117
101	578	5094
102	582	5073
103	587	5058
104	591	5041
105	596	5026
106	598	4997
107	603	4983
108	607	4965
109	612	4953
110	616	4934
111	620	4918
112	625	4906
113	629	4891
114	634	4882
115	637	4860
116	642	4846
117	645	4824
118	649	4811
119	654	4798
120	659	4790
121	663	4777
122	668	4767
123	672	4748
124	675	4730
125	680	4717
126	684	4705
127	688	4691
128	692	4673
129	696	4662
130	700	4649
131	705	4636
132	708	4617
133	713	4608
134	717	4599
135	722	4589
136	726	4574
137	730	4564
138	735	4554
139	739	4540
140	743	4530
141	748	4519
142	751	4501
143	754	4483
144	758	4473
145	762	4461
146	767	4454
147	771	4443
148	776	4433
149	780	4421
150	784	4409
151	788	4396
152	792	4389
153	797	4380
154	799	4356
155	803	4348
156	808	4339
157	812	4328
158	815	4312
159	818	4296
160	822	4288
161	827	4280
162	832	4272
163	835	4260
164	839	4250
165	843	4240
166	847	4229
167	852	4221
168	856	4213
169	861	4204
170	865	4196
171	869	4184
172	873	4174
173	877	4165
174	881	4156
175	886	4150
176	891	4143
177	895	4135
178	899	4123
179	903	4116
180	907	4108
181	911	4096
182	915	4087
183	918	4073
184	921	4057
185	923	4043
186	930	4046
187	935	4038
188	939	4031
189	944	4026
190	949	4020
191	953	4014
192	958	4006
193	964	4005
194	968	3999
195	972	3991
196	976	3982
197	981	3973
198	985	3965
199	989	3959
200	994	3952
201	998	3944
202	1002	3937
203	1007	3931
204	1012	3926
205	1017	3921
206	1022	3915
207	1028	3915
208	1034	3914
209	1044	3928
210	1050	3926
211	1054	3918
212	1059	3913
213	1065	3911
214	1069	3904
215	1077	3910
216	1082	3907
217	1089	3908
218	1097	3914
219	1100	3901
220	1105	3898
221	1110	3892
222	1116	3890
223	1120	3881
224	1125	3877
225	1129	3866
226	1134	3862
227	1138	3853
228	1142	3847
229	1149	3848
230	1154	3843
231	1159	3837
232	1165	3836
233	1169	3829
234	1174	3823
235	1179	3818
236	1184	3814
237	1187	3802
238	1191	3795
239	1195	3785
240	1197	3772
241	1202	3765
242	1206	3759
243	1209	3746
244	1212	3736
245	1215	3725
246	1219	3718
247	1222	3707
248	1226	3699
249	1231	3693
250	1235	3686
251	1238	3676
252	1247	3682
253	1251	3675
254	1256	3670
255	1263	3670
256	1266	3661
257	1270	3654
258	1274	3647
259	1279	3642
260	1286	3642
261	1289	3631
262	1293	3625
263	1299	3621
264	1303	3615
265	1308	3609
266	1313	3604
267	1317	3598
268	1322	3592
269	1325	3584
270	1329	3577
271	1336	3576
272	1340	3569
273	1344	3563
274	1349	3558
275	1353	3551
276	1357	3543
277	1362	3539
278	1367	3533
279	1371	3526
280	1379	3529
281	1384	3525
282	1390	3522
283	1434	3617
284	1438	3607
285	1459	3643
286	1465	3641
287	1471	3636
288	1498	3686
289	1504	3683
290	1507	3673
291	1511	3665
292	1515	3657
293	1520	3650
294	1526	3648
295	1532	3644
296	1537	3639
297	1541	3631
298	1545	3624
299	1550	3617
300	1557	3617
301	1561	3610
302	1567	3606
303	1574	3605
304	1579	3598
305	1583	3591
306	1587	3583
307	1592	3577
308	1597	3571
309	1603	3569
310	1606	3559
311	1609	3549
312	1614	3544
313	1618	3535
314	1622	3528
315	1626	3521
316	1630	3513
317	1636	3508
318	1639	3499
319	1642	3490
320	1646	3482
321	1650	3475
322	1654	3467
323	1658	3460
324	1661	3450
325	1666	3445
326	1670	3437
327	1674	3431
328	1678	3423
329	1683	3418
330	1688	3412
331	1692	3405
332	1697	3400
333	1702	3394
334	1706	3387
335	1711	3381
336	1713	3371
337	1717	3364
338	1722	3358
339	1727	3353
340	1732	3347
341	1735	3339
342	1740	3333
343	1743	3325
344	1747	3316
345	1750	3309
346	1752	3298
347	1756	3290
348	1762	3287
349	1766	3280
350	1769	3271
351	1776	3269
352	1780	3264
353	1784	3257
354	1788	3250
355	1793	3243
356	1795	3233
357	1798	3225
358	1802	3218
359	1810	3218
360	1813	3209
361	1818	3205
362	1826	3205
363	1831	3199
364	1836	3194
365	1843	3194
366	1847	3186
367	1851	3180
368	1857	3175
369	1860	3167
370	1864	3161
371	1867	3153
372	1871	3146
373	1875	3139
374	1880	3133
375	1883	3126
376	1890	3123
377	1894	3117
378	1899	3111
379	1904	3108
380	1908	3100
381	1913	3095
382	1918	3089
383	1922	3083
384	1925	3075
385	1930	3070
386	1935	3065
387	1939	3059
388	1943	3052
389	1948	3047
390	1951	3040
391	1956	3034
392	1960	3028
393	1964	3021
394	1967	3013
395	1971	3006
396	1975	3000
397	1979	2994
398	1982	2986
399	1987	2981
400	1991	2975
401	1995	2968
402	2000	2963
403	2004	2956
404	2007	2949
405	2011	2942
406	2015	2936
407	2019	2930
408	2024	2924
409	2029	2920
410	2034	2915
411	2039	2910
412	2044	2905
413	2049	2900
414	2054	2895
415	2058	2889
416	2061	2882
417	2066	2877
418	2071	2872
419	2075	2866
420	2080	2860
421	2084	2855
422	2087	2847
423	2090	2839
424	2093	2832
425	2097	2826
426	2102	2821
427	2105	2814
428	2109	2807
429	2113	2801
430	2118	2796
431	2122	2790
432	2127	2785
433	2132	2780
434	2135	2773
435	2138	2766
436	2144	2762
437	2147	2755
438	2152	2750
439	2156	2744
440	2160	2738
441	2164	2732
442	2169	2727
443	2173	2721
444	2177	2716
445	2182	2711
446	2187	2705
447	2190	2699
448	2195	2694
449	2199	2688
450	2203	2682
451	2208	2678
452	2213	2673
453	2217	2667
454	2222	2661
455	2227	2657
456	2232	2652
457	2236	2646
458	2240	2640
459	2245	2636
460	2248	2629
461	2252	2623
