ID,var3,var15,var36,num_var5,var38,imp_ent_var16_ult1,TARGET
1,2,23,99,0,39205.17,0.0,0
3,2,34,3,0,49278.03,0.0,0
4,2,23,99,3,67333.77,0.0,0
8,2,37,2,3,64007.97,0.0,0
10,2,39,1,0,117310.979016494,0.0,0
13,2,23,99,0,87975.75,0.0,0
14,2,27,3,3,94956.66,0.0,0
18,2,26,2,3,251638.95,0.0,0
20,2,45,99,0,101962.02,0.0,0
23,2,25,2,3,356463.06,0.0,0
25,2,42,1,0,125424.06,0.0,0
26,2,26,99,0,75368.52,0.0,0
29,2,51,99,3,122220.09,0.0,0
31,2,43,1,0,118436.97,0.0,0
32,2,33,1,0,95294.13,600.0,0
34,2,30,99,3,104403.87,0.0,0
36,2,44,99,0,117310.979016494,0.0,0
39,2,36,1,3,153014.13,0.0,0
42,229,55,1,3,168943.23,0.0,0
43,2,28,3,3,96601.14,0.0,0
45,2,23,99,0,69165.03,0.0,0
49,2,27,3,3,63445.56,0.0,0
51,2,35,2,3,117310.979016494,0.0,0
54,2,54,2,3,59575.62,0.0,0
56,2,42,99,0,117310.979016494,0.0,0
60,2,40,1,0,78390.81,0.0,0
61,2,23,99,0,86262.21,0.0,0
66,2,25,99,0,55568.1,0.0,0
68,2,24,99,3,34880.28,0.0,0
74,2,23,2,3,126815.97,0.0,0
75,2,14,99,0,101789.79,0.0,0
77,2,66,99,0,63324.9,0.0,1
80,2,26,99,0,123113.46,0.0,0
82,2,25,1,3,60115.23,0.0,0
83,2,42,99,3,117310.979016494,0.0,0
84,2,23,99,0,66112.08,0.0,0
87,2,39,99,0,47546.46,0.0,0
88,2,39,1,3,117310.979016494,0.0,0
90,2,23,3,3,44631.63,0.0,0
91,2,24,3,3,75546.15,0.0,0
92,2,50,99,0,112968.33,0.0,0
93,2,22,0,3,150347.88,0.0,0
95,2,25,99,3,96674.94,0.0,0
101,2,24,99,3,56161.53,0.0,0
102,2,62,2,3,123380.37,0.0,0
105,2,23,99,0,90175.05,0.0,0
106,2,23,99,3,155235.3,0.0,0
107,2,42,3,3,43998.48,0.0,0
109,2,24,3,3,114497.61,0.0,0
111,2,60,99,0,237000.24,0.0,0
113,2,42,1,3,245388.78,0.0,0
115,2,22,0,3,76889.91,0.0,0
118,2,64,99,0,84896.85,0.0,0
122,178,76,3,0,56913.06,0.0,0
125,2,26,99,3,55562.91,0.0,0
127,2,23,1,3,67685.46,0.0,0
130,2,40,99,3,44286.45,0.0,0
131,2,26,99,0,99522.72,0.0,0
132,2,31,2,3,101700.48,0.0,0
134,2,23,3,3,336550.11,0.0,0
135,2,38,1,3,149904.78,0.0,0
136,2,41,1,3,59325.75,525.0,0
137,2,23,99,0,51689.55,0.0,0
139,2,26,99,0,191661.84,0.0,0
140,2,25,3,3,169579.74,0.0,0
141,2,56,99,0,95834.85,0.0,0
142,2,26,3,3,39305.16,0.0,0
143,2,23,3,3,41807.67,0.0,0
144,2,23,99,0,165258.42,0.0,0
145,2,24,99,0,36490.74,0.0,0
146,2,23,99,3,117310.979016494,0.0,0
148,2,28,1,0,27443.34,0.0,0
150,2,35,3,0,65554.47,0.0,0
151,2,24,3,3,54182.85,0.0,0
152,2,25,99,0,150676.41,0.0,0
153,2,51,1,0,41508.24,0.0,0
154,2,72,99,0,117310.979016494,0.0,0
155,2,25,3,3,105994.47,0.0,0
156,2,23,3,3,117310.979016494,0.0,0
157,2,24,99,3,117310.979016494,0.0,0
159,2,45,1,3,124988.25,0.0,1
161,2,23,99,0,190417.68,0.0,0
162,2,27,99,0,125764.98,0.0,0
163,2,36,3,0,255365.25,0.0,0
165,2,23,3,3,472322.1,0.0,0
166,2,23,99,0,204085.62,0.0,0
169,2,26,99,3,117310.979016494,0.0,0
170,2,23,2,3,101485.23,0.0,0
171,2,44,99,0,174881.82,0.0,0
172,2,68,2,3,117310.979016494,0.0,0
173,0,5,1,0,102074.61,0.0,0
175,2,25,1,3,48160.14,3000.0,0
176,2,25,1,3,83856.36,24.0,0
177,2,72,1,3,117310.979016494,0.0,0
178,2,23,99,3,149896.02,0.0,0
179,2,25,3,3,158522.37,0.0,0
180,2,23,3,0,208818.99,0.0,0
182,2,56,99,0,23169.78,0.0,0
183,2,25,99,0,200807.07,0.0,0
184,2,23,3,3,165635.1,0.0,0
186,2,23,99,3,64978.32,0.0,0
188,2,33,3,3,395158.38,0.0,0
191,2,23,1,3,40034.1,30.0,0
192,2,23,99,3,117310.979016494,0.0,0
193,2,77,3,0,49965.87,0.0,0
195,2,28,99,3,93861.78,0.0,0
196,2,29,2,3,194717.55,0.0,0
199,2,42,3,3,52629.36,0.0,0
200,2,25,3,3,70804.53,0.0,0
202,2,38,99,0,117310.979016494,0.0,0
203,2,45,99,0,84785.85,0.0,0
204,2,30,3,3,69981.72,0.0,0
206,2,40,1,3,75410.37,0.0,0
207,2,76,2,0,53029.5,0.0,0
209,2,37,1,3,45221.04,0.0,0
210,2,23,3,3,44064.93,0.0,0
212,2,23,99,0,59163.0,0.0,0
213,2,55,1,0,117310.979016494,0.0,0
214,2,23,99,0,100797.03,0.0,0
215,8,54,1,3,89774.01,0.0,0
217,2,35,1,3,117310.979016494,0.0,0
218,2,30,3,3,65978.88,0.0,0
220,2,42,1,3,69591.48,0.0,1
221,2,23,99,0,185447.22,0.0,0
222,2,28,99,3,84396.69,0.0,0
225,2,23,2,3,58777.29,0.0,0
227,2,23,3,3,105520.71,0.0,0
228,3,31,99,0,131774.97,0.0,0
231,2,41,2,3,86507.55,0.0,0
232,2,28,1,3,64311.36,450.0,0
233,2,24,99,3,294013.05,0.0,0
234,2,63,2,0,186236.34,0.0,0
235,2,23,99,0,117310.979016494,0.0,0
236,2,38,99,3,69048.78,0.0,0
239,2,43,3,0,117310.979016494,0.0,0
241,2,45,2,0,86410.5,0.0,0
242,2,23,3,3,130432.38,0.0,0
244,2,27,3,3,108845.91,0.0,0
252,2,23,99,0,65222.07,0.0,0
253,2,32,1,3,101456.79,0.0,0
254,2,57,1,3,210509.67,0.0,0
258,2,36,99,0,89128.44,0.0,0
259,2,36,3,3,57912.57,0.0,0
262,2,23,3,3,45928.5,0.0,0
265,2,28,99,0,91723.26,0.0,0
266,2,34,3,3,30024.12,0.0,0
269,2,23,99,0,117310.979016494,0.0,0
270,2,55,2,3,110976.39,0.0,0
271,2,80,1,3,96648.51,0.0,0
273,2,37,3,3,117310.979016494,0.0,0
276,2,51,3,3,79014.9,0.0,0
279,2,29,3,3,111410.58,0.0,0
285,2,31,99,3,56467.44,0.0,0
287,2,26,99,3,42978.45,0.0,0
288,2,25,99,0,61648.44,0.0,0
289,2,23,3,3,117310.979016494,0.0,0
292,2,38,99,0,58084.53,0.0,0
294,2,55,99,0,117310.979016494,0.0,0
296,2,60,2,0,239396.13,0.0,0
299,2,24,3,3,79688.37,0.0,0
301,2,26,3,3,71930.34,0.0,0
